Domain,Competitor Relevance,Common Keywords,Organic Keywords,Organic Traffic,Organic Cost,Adwords Keywords,Z-Score
coinmarketcap.com,0.6,7405,62973,765775,506065.0,0,5.238211586803236
coingecko.com,0.55,5908,32361,164968,358187.0,0,0.786650887905824
coinbase.com,0.52,6676,57453,489709,1371036.0,0,3.1927551325644994
crypto.com,0.47,5075,16554,119520,221375.0,0,0.44991291607212447
coindesk.com,0.39,4250,34782,284727,144586.0,0,1.6739815244317886
coincodex.com,0.36,3583,28348,111900,116099.0,0,0.3934540323946735
cointelegraph.com,0.28,2665,39586,227202,81820.0,0,1.2477614084809532
kraken.com,0.27,2880,11725,103021,334601.0,0,0.32766683709649935
livecoinwatch.com,0.22,2668,7564,21349,55257.0,0,-0.2774657019723688
bybit.com,0.21,1913,11306,30034,80636.0,0,-0.21311591132425048
btcc.com,0.19,1397,12302,14294,10782.0,0,-0.3297383298390901
ambcrypto.com,0.17,1609,24032,29562,10407.0,0,-0.2166131020192317
changelly.com,0.17,1860,7150,70226,22538.0,1,0.0846787675161838
blockworks.co,0.16,1502,8918,98466,11223.0,0,0.29391746502946664
okx.com,0.14,1496,8877,26592,73263.0,3,-0.2386187299092618
bitdegree.org,0.12,872,16391,5864,6293.0,0,-0.39219874839564023
beincrypto.com,0.12,997,19749,12857,5208.0,0,-0.3403854972727512
cryptonews.com,0.12,824,12257,28450,28573.0,31,-0.2248522461989332
coinpaprika.com,0.11,1219,6103,4830,4207.0,0,-0.39985996699439147
kucoin.com,0.11,1236,6150,33317,26243.0,0,-0.18879117180809937
techopedia.com,0.11,1909,104069,239952,357906.0,0,1.3422300130593652
tradingview.com,0.1,1840,105124,470976,871561.0,0,3.0539566722062723
coinstats.app,0.1,1093,4158,6331,11927.0,0,-0.38873860421225837
analyticsinsight.net,0.09,639,21225,15792,34408.0,0,-0.3186391949639167
decrypt.co,0.08,555,17294,15618,5562.0,0,-0.319928413567575
etherscan.io,0.08,720,7179,25786,1693.0,0,-0.2445906275790814
newsbtc.com,0.08,594,8391,13230,3566.0,0,-0.33762182750743763
business2community.com,0.08,523,24641,6633,14801.0,33,-0.386500994911656
cryptonewsz.com,0.08,716,5471,5223,5247.0,0,-0.39694811118268036
capital.com,0.08,1317,68328,152489,186275.0,94,0.6941902042560983
ccn.com,0.07,453,8031,20773,16628.0,0,-0.28173346010861705
ledger.com,0.07,556,7875,54599,60700.0,0,-0.03110639983650993
bitkan.com,0.07,513,11831,13916,7320.0,0,-0.33253904611600305
u.today,0.07,478,7041,147255,72631.0,0,0.6554099159138702
coincarp.com,0.07,836,5611,1453,607.0,0,-0.4248811809286109
cryptoslate.com,0.07,442,7209,7081,23280.0,0,-0.3831816274723518
bitcoinist.com,0.07,310,7595,3855,7341.0,0,-0.40708403675627003
cryptopolitan.com,0.07,584,9608,3280,1848.0,0,-0.41134438559019837
cryptorank.io,0.07,680,7147,1474,1044.0,0,-0.4247255855798935
coinlore.com,0.06,956,4609,1943,267.0,0,-0.42125062279187186
kriptomat.io,0.06,798,3479,5679,2911.0,0,-0.3935694693248172
coinpedia.org,0.06,735,5653,18156,7384.0,0,-0.3011236042797311
bitpanda.com,0.06,558,11305,9436,21969.0,0,-0.3657327205090451
coindataflow.com,0.06,385,6470,1437,1251.0,0,-0.42499972976572886
coinranking.com,0.06,734,4933,3798,18584.0,0,-0.4075063669885029
gemini.com,0.06,507,5769,24822,27932.0,0,-0.25173319501544134
tradersunion.com,0.06,478,13502,10913,40026.0,0,-0.35478918098258905
cex.io,0.06,620,4121,31734,14523.0,0,-0.2005200973804622
digitalcoinprice.com,0.05,711,3734,1700,502.0,0,-0.4230510832556016
coinbureau.com,0.05,201,2785,3866,14281.0,0,-0.4070025344307514
coingape.com,0.05,326,7320,13643,7849.0,0,-0.33456178564932904
cryptopotato.com,0.05,392,6803,59749,24061.0,0,0.007051507110848663
etoro.com,0.05,684,40991,207303,625054.0,129,1.1003237016177514
bitget.com,0.05,531,6025,7258,827523.0,0,-0.38187018096173386
mexc.com,0.05,454,4028,8421,29891.0,4,-0.3732531623637187
stilt.com,0.05,188,11819,15091,13995.0,0,-0.3238331158901494
bitcourier.co.uk,0.05,450,3107,8940,4674.0,0,-0.3694077344597033
bitnation.co,0.05,636,2401,3078,1823.0,0,-0.41284106465881326
stormgain.com,0.04,312,2230,3373,5657.0,0,-0.41065532047444997
gate.io,0.04,316,5135,5821,3501.0,3,-0.39251734839539487
primexbt.com,0.04,354,4699,10076,85543.0,4,-0.3609907670243248
bitstamp.net,0.04,481,5246,11812,26231.0,0,-0.348128218197021
icodrops.com,0.04,395,2150,1776,5386.0,0,-0.4224879762792911
finbold.com,0.04,307,14603,23506,9883.0,0,-0.26148383686839743
3commas.io,0.04,389,2706,4095,2491.0,0,-0.4053058041994999
dappradar.com,0.04,304,3916,3113,1724.0,0,-0.4125817390776176
bitcoin.com,0.04,429,8886,24172,14244.0,0,-0.2565492415233604
icoholder.com,0.03,236,2700,531,548.0,0,-0.431712557667536
fxstreet.com,0.03,320,32141,99118,82159.0,0,0.29874833014202545
coinmarketcal.com,0.03,507,2555,890,1014.0,0,-0.42905261813470075
bitcoinwisdom.com,0.03,289,1748,1333,658.0,0,-0.4257702972069959
messari.io,0.03,312,2526,2169,4226.0,0,-0.41957612046758
securities.io,0.03,266,3151,2560,3141.0,0,-0.41667908326050873
everybithelps.io,0.03,70,1456,137,27.0,0,-0.434631822781567
fool.com,0.03,1019,130827,569401,998434.0,0,3.7832172530400143
uphold.com,0.03,261,2384,9102,27786.0,0,-0.3682074274838835
coinbrain.com,0.03,248,4076,3935,4323.0,0,-0.40649129257067995
coincheckup.com,0.03,320,3138,1302,530.0,0,-0.42599998557891205
bsc.news,0.03,167,2688,1648,3331.0,0,-0.42343636697623516
swapspace.co,0.03,428,2051,967,71.0,0,-0.42848210185607033
investing.com,0.03,1417,202591,634369,774849.0,0,4.264584806157682
investorsobserver.com,0.03,231,36821,18777,18798.0,0,-0.2965224275390885
coinedition.com,0.02,244,2207,1141,837.0,0,-0.427192883252412
zipmex.com,0.02,161,2389,858,154.0,0,-0.42928971580893677
defillama.com,0.02,211,1839,4433,4315.0,0,-0.402801460015382
thenewscrypto.com,0.02,293,2746,753,245.0,0,-0.4300676925525237
insidebitcoins.com,0.02,141,5608,3511,5868.0,0,-0.4096328367543072
dailyhodl.com,0.02,145,2919,45496,51070.0,0,-0.0985532788543362
coinmooner.com,0.02,222,1569,535,159.0,0,-0.4316829204582565
crowdwisdom.live,0.02,251,2743,1136,624.0,0,-0.42722992976401136
bitpay.com,0.02,242,2045,4988,15089.0,0,-0.3986892972278511
forkast.news,0.02,86,3789,373,96.0,0,-0.43288322743407637
captainaltcoin.com,0.02,137,3107,397,1062.0,0,-0.4327054041783993
coin360.com,0.02,245,1841,2326,4667.0,0,-0.4184128600033596
